,HR@1,HR@1,HR@5,HR@5,HR@10,HR@10,NDCG@10,NDCG@10,LogPopDiff,LogPopDiff,Diversity,Diversity,Coverage,Coverage,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,,,,,,,,,,,,,,,,
BLAIR Base (DeepSeek full aug),0.0825,0.0,0.10710000000000001,0.0,0.1183,0.0,0.09849999999999999,0.0,-1.0848,0.0,0.45649999999999996,0.0,0.3804,0.0,43.0,1.0
BLAIR Base (GPT-4o full aug),0.0828,0.0,0.1068,0.0,0.1183,0.0,0.0984,0.0,-1.0858,0.0,0.46690000000000004,0.0,0.3794,0.0,43.0,1.0
BLAIR Base (GPT-4o-mini full aug),0.0825,0.0,0.1054,0.0,0.1158,0.0,0.0977,0.0,-1.0857,0.0,0.3868,0.0,0.3705,0.0,43.0,1.0
BLAIR Large (GPT-4o-mini full aug),0.0821,0.0,0.1058,0.0,0.1158,0.0,0.0974,0.0,-1.0983,0.0,0.3525,0.0,0.3763,0.0,43.0,1.0
"LLM‑as‑Embedder (Llama‑3.1‑8B, full aug)",,,,,,,,,,,,,,,43.0,1.0
Zero-shot BLAIR,0.0818,0.0,0.09900000000000002,0.0,0.10710000000000001,0.0,0.0932,0.0,-1.3577000000000001,0.0,0.0988,0.0,0.3434,0.0,43.0,1.0
Zero-shot RoBERTa,0.0818,0.0,0.1014,0.0,0.10859999999999999,0.0,0.0941,0.0,-1.2587,0.0,0.0009000000000000001,0.0,0.2401,0.0,43.0,1.0
