model,head_HR,mid_HR,tail_HR
base_500aug,0.1386,0.0380,0.0000
base_fullaug,0.1343,0.0367,0.0000
base_deepseek_fullaug,0.1370,0.0380,0.0000
base_gpt4o_fullaug,0.1369,0.0387,0.0000
large_fullaug,0.1353,0.0326,0.0000
llm_fullaug,0.1300,0.0360,0.0000
