Experiment,HR@1,HR@5,HR@10,NDCG@10,LogPopDiff,Diversity,Coverage,Dataset
Zero-shot RoBERTa,0.0818,0.1014,0.1086,0.0941,-1.2587,0.0009,0.2401,All_Beauty
Zero-shot BLAIR,0.0818,0.099,0.1071,0.0932,-1.3577,0.0988,0.3434,All_Beauty
BLAIR Base (GPT-4o-mini full aug),0.0819,0.1086,0.1171,0.098,-1.0816,0.4547,0.3791,All_Beauty
BLAIR Large (GPT-4o-mini full aug),0.0823,0.1045,0.1134,0.0967,-1.0764,0.3738,0.3728,All_Beauty
LLM (ChatGPT base),0.1034,0.1782,0.2462,0.163,-1.5154,0.3789,0.4687,All_Beauty
LLM (ChatGPT fair),0.0648,0.1325,0.222,0.1262,-1.5024,0.3915,0.4706,All_Beauty
Combined (BLAIR + ChatGPT fair),0.0231,0.0501,0.0791,0.0458,-1.2492,0.4935,0.3845,All_Beauty
